+proj=utm +zone=31 +ellps=WGS84 +datum=WGS84 +units=m +no_defs	
731068.542 4946336.485 2556.679 2861 1128 DJI_0090.JPG
731068.542 4946336.485 2556.679 2827 1948 DJI_0091.JPG
731068.542 4946336.485 2556.679 2790 2760 DJI_0092.JPG
731068.542 4946336.485 2556.679 4061 2452 DJI_0095.JPG
731068.542 4946336.485 2556.679 4102 1632 DJI_0096.JPG
731068.542 4946336.485 2556.679 4141 815 DJI_0097.JPG
731068.542 4946336.485 2556.679 5385 1280 DJI_0169.JPG
731045.408 4946208.502 2557.591 500 1455 DJI_0096.JPG
731045.408 4946208.502 2557.591 1806 266 DJI_0168.JPG
731045.408 4946208.502 2557.591 1774 1106 DJI_0169.JPG
731045.408 4946208.502 2557.591 1745 1941 DJI_0170.JPG
731045.408 4946208.502 2557.591 1705 2766 DJI_0171.JPG
731045.408 4946208.502 2557.591 3025 3261 DJI_0173.JPG
731045.408 4946208.502 2557.591 3012 2454 DJI_0174.JPG
731045.408 4946208.502 2557.591 3040 1635 DJI_0175.JPG
731045.408 4946208.502 2557.591 3077 789 DJI_0176.JPG
731285.182 4946297.382 2550.992 2815 664 DJI_0082.JPG
731285.182 4946297.382 2550.992 2793 1452 DJI_0083.JPG
731285.182 4946297.382 2550.992 2759 2233 DJI_0084.JPG
731285.182 4946297.382 2550.992 3926 2740 DJI_0102.JPG
731285.182 4946297.382 2550.992 3976 1958 DJI_0103.JPG
731285.182 4946297.382 2550.992 4027 1176 DJI_0104.JPG
731285.182 4946297.382 2550.992 5224 1622 DJI_0162.JPG
731257.952 4946168.762 2551.164 513 1610 DJI_0103.JPG
731257.952 4946168.762 2551.164 1792 518 DJI_0161.JPG
731257.952 4946168.762 2551.164 1750 1313 DJI_0162.JPG
731257.952 4946168.762 2551.164 1712 2106 DJI_0163.JPG
731257.952 4946168.762 2551.164 1682 2896 DJI_0164.JPG
731257.952 4946168.762 2551.164 2905 2630 DJI_0181.JPG
731257.952 4946168.762 2551.164 2952 1840 DJI_0182.JPG
731257.952 4946168.762 2551.164 3003 1043 DJI_0183.JPG
731479.070 4946256.557 2545.311 2614 1191 DJI_0076.JPG
731479.070 4946256.557 2545.311 2583 1939 DJI_0077.JPG
731479.070 4946256.557 2545.311 2552 2685 DJI_0078.JPG
731479.070 4946256.557 2545.311 3714 2422 DJI_0109.JPG
731479.070 4946256.557 2545.311 3764 1674 DJI_0110.JPG
731479.070 4946256.557 2545.311 3824 911 DJI_0111.JPG
731479.070 4946256.557 2545.311 4924 2148 DJI_0156.JPG
731443.962 4946152.451 2548.618 913 2596 DJI_0108.JPG
731443.962 4946152.451 2548.618 958 1824 DJI_0109.JPG
731443.962 4946152.451 2548.618 1000 1043 DJI_0110.JPG
731443.962 4946152.451 2548.618 2225 786 DJI_0155.JPG
731443.962 4946152.451 2548.618 2184 1561 DJI_0156.JPG
731443.962 4946152.451 2548.618 2136 2324 DJI_0157.JPG
731443.962 4946152.451 2548.618 2093 3089 DJI_0158.JPG
731443.962 4946152.451 2548.618 3308 2806 DJI_0187.JPG
731443.962 4946152.451 2548.618 3355 2029 DJI_0188.JPG
731443.962 4946152.451 2548.618 3405 1257 DJI_0189.JPG
731675.025 4946215.201 2546.099 2457 954 DJI_0069.JPG
731675.025 4946215.201 2546.099 2402 1714 DJI_0070.JPG
731675.025 4946215.201 2546.099 2351 2469 DJI_0071.JPG
731675.025 4946215.201 2546.099 3566 2191 DJI_0116.JPG
731675.025 4946215.201 2546.099 3622 1438 DJI_0117.JPG
731675.025 4946215.201 2546.099 3676 672 DJI_0118.JPG
731675.025 4946215.201 2546.099 4766 1971 DJI_0149.JPG
731650.533 4946111.064 2544.754 834 2614 DJI_0115.JPG
731650.533 4946111.064 2544.754 883 1850 DJI_0116.JPG
731650.533 4946111.064 2544.754 928 1105 DJI_0117.JPG
731650.533 4946111.064 2544.754 2122 867 DJI_0148.JPG
731650.533 4946111.064 2544.754 2070 1625 DJI_0149.JPG
731650.533 4946111.064 2544.754 2007 2365 DJI_0150.JPG
731650.533 4946111.064 2544.754 1961 3118 DJI_0151.JPG
731650.533 4946111.064 2544.754 3176 2821 DJI_0194.JPG
731650.533 4946111.064 2544.754 3216 2068 DJI_0195.JPG
731650.533 4946111.064 2544.754 3263 1309 DJI_0196.JPG
731650.533 4946111.064 2544.754 3307 541 DJI_0197.JPG
731777.103 4946133.922 2547.348 1947 2730 DJI_0119.JPG
731777.103 4946133.922 2547.348 1998 1968 DJI_0120.JPG
731777.103 4946133.922 2547.348 2039 1206 DJI_0121.JPG
731777.103 4946133.922 2547.348 3217 928 DJI_0145.JPG
731777.103 4946133.922 2547.348 3181 1712 DJI_0146.JPG
731777.103 4946133.922 2547.348 3137 2492 DJI_0147.JPG
731777.103 4946133.922 2547.348 4425 1405 DJI_0199.JPG
731612.625 4946166.347 2544.578 970 1034 DJI_0071.JPG
731612.625 4946166.347 2544.578 922 1793 DJI_0072.JPG
731612.625 4946166.347 2544.578 876 2544 DJI_0073.JPG
731612.625 4946166.347 2544.578 2019 3002 DJI_0113.JPG
731612.625 4946166.347 2544.578 2066 2259 DJI_0114.JPG
731612.625 4946166.347 2544.578 2114 1511 DJI_0115.JPG
731612.625 4946166.347 2544.578 2170 748 DJI_0116.JPG
731612.625 4946166.347 2544.578 3362 530 DJI_0149.JPG
731612.625 4946166.347 2544.578 3307 1283 DJI_0150.JPG
731612.625 4946166.347 2544.578 3248 2022 DJI_0151.JPG
731612.625 4946166.347 2544.578 3202 2761 DJI_0152.JPG
731612.625 4946166.347 2544.578 4506 944 DJI_0194.JPG
731403.201 4946210.821 2552.143 1081 891 DJI_0078.JPG
731403.201 4946210.821 2552.143 1048 1690 DJI_0079.JPG
731403.201 4946210.821 2552.143 1009 2468 DJI_0080.JPG
731403.201 4946210.821 2552.143 2185 2953 DJI_0106.JPG
731403.201 4946210.821 2552.143 2245 2163 DJI_0107.JPG
731403.201 4946210.821 2552.143 2296 1376 DJI_0108.JPG
731403.201 4946210.821 2552.143 2342 573 DJI_0109.JPG
731403.201 4946210.821 2552.143 3540 1076 DJI_0157.JPG
731403.201 4946210.821 2552.143 3492 1864 DJI_0158.JPG
731403.201 4946210.821 2552.143 3446 2649 DJI_0159.JPG
731403.201 4946210.821 2552.143 4760 1573 DJI_0187.JPG
731156.239 4946253.423 2554.425 1011 2160 DJI_0088.JPG
731156.239 4946253.423 2554.425 2219 2666 DJI_0098.JPG
731156.239 4946253.423 2554.425 2251 1857 DJI_0099.JPG
731156.239 4946253.423 2554.425 2293 1043 DJI_0100.JPG
731156.239 4946253.423 2554.425 3548 704 DJI_0165.JPG
731156.239 4946253.423 2554.425 3513 1519 DJI_0166.JPG
731156.239 4946253.423 2554.425 3475 2335 DJI_0167.JPG
731156.239 4946253.423 2554.425 4748 2041 DJI_0178.JPG
